name,category,source,match_status,amap_uid,amap_name,amap_type,amap_typecode,amap_address,amap_adname,old_lng,old_lat,amap_lng,amap_lat,coord_transform,drift_m,drift_flag,amap_rating,amap_cost,old_address,n_candidates
阿城清真寺(礼福胡同),景点,baidu,exact,B01C31C8UN,阿城清真寺(不对外开放),风景名胜;风景名胜;回教寺,110207,礼福胡同28号,阿城区,126.9608401,45.5343374,126.966992,45.5364,wgs84_to_gcj02,4.6,False,,,哈尔滨市阿城区礼福胡同28号,10
文庙,景点,baidu,exact,B0FFG2XMV7,文庙,商务住宅;住宅区;住宅小区,120302,金都大街与会宁路交叉口南100米,阿城区,126.6688594,45.773929,126.979861,45.531764,wgs84_to_gcj02,36040.1,True,,,黑龙江省哈尔滨市南岗区文庙街25号(近黑河路),10
长岭湖,景点,baidu,exact,B0FFFEDRHN,长岭湖,地名地址信息;自然地名;湖泊,190205,道里区,道里区,126.4280586,45.6924665,126.439218,45.692316,wgs84_to_gcj02,456.2,False,,,黑龙江省哈尔滨市道里区环湖南路,10
中国雪谷雾凇岭景区,景点,baidu,exact,B0FFLBNXJD,中国雪谷雾凇岭景区,风景名胜;风景名胜相关;旅游景点,110000,珍珠山乡山河屯林业局东升林场24公里处,尚志市,128.2338153,44.531381,128.240116,44.533743,wgs84_to_gcj02,29.4,False,,,哈尔滨市尚志市山河屯林业局东升林场24公里处,1
万佛山景区,景点,baidu,exact,B01C31DKTN,万佛山景区,风景名胜;风景名胜;风景名胜,110200,元宝镇万佛山,尚志市,128.1960754,45.1930295,128.199862,45.192419,wgs84_to_gcj02,378.1,False,,,黑龙江省哈尔滨市尚志市尚开公路,4
长寿山国家森林公园,景点,baidu,exact,B0FFHBIS50,长寿山国家森林公园,风景名胜;风景名胜相关;旅游景点,110000,道东(近长寿山风景区),延寿县,128.4947708,45.3188904,128.500891,45.319261,wgs84_to_gcj02,206.3,False,,,黑龙江省哈尔滨市延寿县长寿山风景区(037县道北),10
松溪公园,景点,baidu,exact,B0FFIVUX3J,松溪公园,风景名胜;公园广场;公园,110101,群力第一大道1872号,道里区,126.5270924,45.7371469,126.533443,45.738717,wgs84_to_gcj02,55.0,False,,,哈尔滨市道里区群力保利城,4
天恒山冰雪运动大世界,景点,baidu,exact,B0GKBXIN1F,天恒山冰雪运动大世界(暂停营业),体育休闲服务;运动场馆;滑雪场,080106,东巨路2.5公里,道外区,126.7913764,45.8023625,126.797557,45.804635,wgs84_to_gcj02,23.8,False,,,黑龙江省哈尔滨市道外区东巨路天恒旅游风景区,3
郡王山,景点,baidu,exact,B0FFK7XQD6,郡王山,风景名胜;风景名胜相关;旅游景点,110000,金龙山镇,阿城区,127.3272522,45.5278536,127.333834,45.5301,wgs84_to_gcj02,0.5,False,,,黑龙江省哈尔滨市阿城区金龙山镇郡王山,4
中国雪谷,景点,baidu,exact,B0H64HGXIC,中国雪谷(暂停开放),风景名胜;风景名胜相关;旅游景点,110000,山河林业局东升林场雪谷小街,五常市,128.1231336,44.3892678,128.129392,44.391461,wgs84_to_gcj02,24.0,False,,,黑龙江省哈尔滨市五常市山河屯林业局东升林场,10
