name,lng,lat,category,address,poi_type,rating,avg_cost,source,comment_num,popularity,season_winter,season_summer,sort_score,activity_type,amap_uid,coord_source,match_status,drift_m,needs_review,coord_fixed_on
阿城清真寺(礼福胡同),126.966992,45.5364,景点,哈尔滨市阿城区礼福胡同28号,旅游景点;其他,5.0,,baidu,79.0,79.0,0.9,0.7,0.978279907275154,0,B01C31C8UN,amap,exact,4.6,False,2026-09-04
文庙,126.979861,45.531764,景点,黑龙江省哈尔滨市南岗区文庙街25号(近黑河路),旅游景点;寺庙,5.0,,baidu,65.0,65.0,0.9,0.7,0.97652843796099,0,B0FFG2XMV7,amap,exact,36040.1,True,2026-09-04
哈尔滨天池丁香公园,126.638658,45.625011,景点,松花路与大连北路交汇处,旅游景点;公园,5.0,,baidu,61.0,61.0,0.9,0.7,0.9751843960006557,0,B01C317L8I,amap,contains,45.5,False,2026-09-04
哈尔滨逐鲨体育(欧洲新城店),126.6019741,45.7433128,景点,新阳路506号,运动健身;体育场馆,5.0,,baidu,61.0,61.0,0.9,0.7,0.9751843960006557,0,,baidu_wgs2gcj,none,,False,2026-09-04
长岭湖,126.439218,45.692316,景点,黑龙江省哈尔滨市道里区环湖南路,旅游景点,5.0,,baidu,60.0,60.0,0.9,0.7,0.9747301379165008,0,B0FFFEDRHN,amap,exact,456.2,False,2026-09-04
方正湖国家湿地公园,128.8130290,45.8525621,景点,黑龙江省哈尔滨市方正县同安路西50米,旅游景点;公园,5.0,,baidu,59.0,59.0,0.9,0.7,0.9741728522256305,0,,baidu_wgs2gcj,none,,False,2026-09-04
松光电影院旧址,126.6401033,45.7853092,景点,黑龙江省哈尔滨市道外区北四道街58号,旅游景点;文物古迹,5.0,,baidu,57.0,57.0,0.9,0.7,0.9722012784789379,0,,baidu_wgs2gcj,none,,False,2026-09-04
中国雪谷雾凇岭景区,128.240116,44.533743,景点,哈尔滨市尚志市山河屯林业局东升林场24公里处,旅游景点,5.0,,baidu,56.0,56.0,1.0,0.3,0.9705622029175545,0,B0FFLBNXJD,amap,exact,29.4,False,2026-09-04
万佛山景区,128.199862,45.192419,景点,黑龙江省哈尔滨市尚志市尚开公路,旅游景点;风景区,5.0,,baidu,56.0,56.0,0.9,0.7,0.9705622029175545,0,B01C31DKTN,amap,exact,378.1,False,2026-09-04
长寿山国家森林公园,128.500891,45.319261,景点,黑龙江省哈尔滨市延寿县长寿山风景区(037县道北),旅游景点;公园,5.0,,baidu,55.0,55.0,0.9,0.7,0.9684501369798862,0,B0FFHBIS50,amap,exact,206.3,False,2026-09-04
松溪公园,126.533443,45.738717,景点,哈尔滨市道里区群力保利城,旅游景点;公园,5.0,,baidu,54.0,54.0,0.9,0.7,0.9659259606153558,0,B0FFIVUX3J,amap,exact,55.0,False,2026-09-04
天恒山冰雪运动大世界,126.797557,45.804635,景点,黑龙江省哈尔滨市道外区东巨路天恒旅游风景区,运动健身;体育场馆,5.0,213.0,baidu,54.0,54.0,1.0,0.3,0.9659259606153558,0,B0GKBXIN1F,amap,exact,23.8,False,2026-09-04
哈体院帽儿山滑雪场,127.4504826,45.2508664,景点,黑龙江省哈尔滨市尚志市帽儿山镇大房子村4队,运动健身;体育场馆,5.0,,baidu,53.0,53.0,1.0,0.3,0.9629756246048657,0,,baidu_wgs2gcj,none,,False,2026-09-04
皇家鹿苑,127.3545233,45.3105832,景点,哈尔滨市阿城区平山镇032村道西森工平山旅游区,旅游景点,5.0,,baidu,53.0,53.0,0.9,0.7,0.9629756246048657,0,,baidu_wgs2gcj,contains,,True,2026-09-04
南体育场,126.682572,45.772709,景点,黑龙江省哈尔滨市南岗区郑和路与陈赓路交叉口东100米,运动健身;体育场馆,5.0,,baidu,52.0,52.0,0.9,0.7,0.9598847964033999,0,B0FFH7MCX1,amap,contains,0.6,False,2026-09-04
黑龙江省(国际)版画博物馆,126.6373217,45.7499026,景点,黑龙江省哈尔滨市南岗区耀景街30号,旅游景点;博物馆,5.0,,baidu,52.0,52.0,0.9,0.7,0.9598847964033999,0,,baidu_wgs2gcj,none,,False,2026-09-04
郡王山,127.333834,45.5301,景点,黑龙江省哈尔滨市阿城区金龙山镇郡王山,旅游景点;风景区,5.0,,baidu,52.0,52.0,0.9,0.7,0.9598847964033999,0,B0FFK7XQD6,amap,exact,0.5,False,2026-09-04
中国雪谷,128.129392,44.391461,景点,黑龙江省哈尔滨市五常市山河屯林业局东升林场,运动健身;体育场馆,5.0,,baidu,52.0,52.0,1.0,0.3,0.9598847964033999,0,B0H64HGXIC,amap,exact,24.0,False,2026-09-04
太阳岛花田,126.56182,45.801547,景点,哈尔滨市松北区滨水大道赛丽斯家园南侧约200米,旅游景点,5.0,,baidu,52.0,52.0,0.9,0.7,0.9598847964033999,0,B0FFHEE18W,amap,exact,239.8,False,2026-09-04
觅隐mean营地,126.453931,45.735767,景点,黑龙江省哈尔滨市道里区堤顶路,旅游景点;其他,5.0,,baidu,51.0,51.0,0.9,0.7,0.9564193223593322,0,B0IRXU117H,amap,exact,16.8,False,2026-09-04
中东铁路印象馆,126.627015,45.782395,景点,黑龙江省哈尔滨市道里区友谊路1号,旅游景点,5.0,,baidu,51.0,51.0,0.9,0.7,0.9564193223593322,0,B0FFK638I0,amap,contains,4.1,False,2026-09-04
太阳湖,126.5951906,45.7924119,景点,警备路3号太阳岛风景区内,旅游景点,5.0,,baidu,51.0,51.0,0.9,0.7,0.9564193223593322,0,,baidu_wgs2gcj,none,,False,2026-09-04
亚布力新体委滑雪场,128.459762,44.772608,景点,黑龙江省哈尔滨市亚布力旅游度假区金牌大道84号,运动健身;体育场馆,4.9,406.0,baidu,83.0,83.0,1.0,0.3,0.9549980096939612,0,B0FFHN5KGM,amap,exact,2.9,False,2026-09-04
哈尔滨市劳动公园,126.6679789,45.7000462,景点,黑龙江省哈尔滨市香坊区松海路与松江路交叉口西南角,旅游景点;公园,4.9,,baidu,82.0,82.0,0.9,0.7,0.9549183974524083,0,,baidu_wgs2gcj,contains,,True,2026-09-04
尚志市林区驯鹿部落,128.5077286,44.7789959,景点,黑龙江省哈尔滨市尚志市亚布力滑雪旅游度假区,旅游景点,5.0,,baidu,50.0,50.0,0.9,0.7,0.9484440489849439,0,,baidu_wgs2gcj,none,,False,2026-09-04
