source,title,season,route,liked_count,note_id
小红书,被J 人做的哈尔滨攻略震惊到🤯。。太省事了,冬季,道里菜市场→圣索菲亚教堂→中央大街→松花江→松花江铁路桥→中华巴洛克→红专街早市→哈尔滨音乐厅→太阳岛→雪博会→哈尔滨大剧院→东北虎林园→热雪奇迹→冰雪大世界→731遗址→秋林公司→果戈里大街→兆麟公园→冰灯游园会,1.2万,677bc9a800000000180109dd
小红书,为了这几张照片，我又特意飞哈尔滨了！,冬季,冰雪大世界→伏尔加庄园→尼古拉教堂→冰灯游园会→中央大街→圣索菲亚教堂→老道外→中华巴洛克,8114,694f3fe0000000001e00807e
小红书,人生建议去完这些地方再离开哈尔滨（附攻略,冬季,哈尔滨站→圣伊维尔教堂→圣阿列克谢耶夫教堂→伏尔加庄园→热雪奇迹→圣索菲亚教堂→东北虎林园→冰雪大世界→中央大街,6536,694e80e60000000021029ba5
小红书,📍哈尔滨3天2晚｜超详细攻略⛄️citywalk路线,冬季,圣伊维尔教堂→圣索菲亚教堂→中央大街→松花江→松花江铁路桥→中华巴洛克→冰雪大世界→太阳岛→哈尔滨站→马迭尔,5968,67962116000000002a00cba7
小红书,尔滨很美，你一定要来2.0（行程安排）,夏季,道里菜市场→中央大街→马迭尔→防洪纪念塔→松花江大桥→松花江→东北虎林园→哈尔滨大剧院→松花江湿地→太阳岛→黑龙江省博物馆→哈尔滨音乐厅→红专街早市→哈尔滨站→圣伊维尔教堂→哈尔滨天主教堂,4735,671ff53400000000240181af
小红书,哈尔滨3天2夜暴走攻略‖景点+美食拿捏❗,冬季,中央大街→松花江→中华巴洛克→731遗址→圣索菲亚教堂→斯大林公园→防洪纪念塔→东北虎林园→哈尔滨大剧院→太阳岛→冰雪大世界→黑龙江省博物馆,3924,694caf7400000000220318ab
小红书,哈尔滨冰雪季3天2晚保姆级攻略❗️懒人版,冬季,哈尔滨太平国际机场→哈尔滨站→中华巴洛克→圣索菲亚教堂→道里菜市场→中央大街→防洪纪念塔→松花江→松花江大桥→太阳岛→雪博会→哈尔滨极地馆→波塞冬海洋王国→冰雪大世界→黑龙江省博物馆→果戈里大街→龙塔→亚布力滑雪场→马迭尔,2839,6960c23d000000002103cc6e
小红书,哈尔滨主要景点旅行攻略地图,四季皆宜,黑龙江省博物馆→哈尔滨站→圣伊维尔教堂→中华巴洛克→圣索菲亚教堂→哈尔滨音乐厅→防洪纪念塔→松花江→松花江大桥,2461,68fcf29e0000000003038b5e
小红书,二刷哈尔滨，直接复制这条三天两晚省心路线！,冬季,松花江→中央大街→东北虎林园→黑龙江省博物馆→红专街早市→哈尔滨音乐厅→太阳岛→松花江大桥→圣索菲亚教堂,2412,69464aea000000001b021438
小红书,哈尔滨果然是一点就透❄️给小土豆的旅游攻略,冬季,雪乡→红专街早市→中央大街→圣索菲亚教堂→防洪纪念塔→松花江→松花江大桥→中华巴洛克→东北虎林园→太阳岛→哈尔滨大剧院→哈尔滨极地馆→冰雪大世界→道里菜市场→果戈里大街→师大夜市→黑龙江省博物馆→731遗址→亚布力滑雪场,2403,679789120000000017039d08
小红书,哈尔滨｜个人满意的路线分享（2日游📝）,冬季,冰雪大世界→圣索菲亚教堂→道里菜市场→秋林公司→中央大街→马迭尔→防洪纪念塔→松花江→松花江铁路桥→龙塔→中华巴洛克,2217,696228da000000002202fe41
小红书,第一次去哈尔滨，请直接复制这条旅行路线,冬季,中央大街→中华巴洛克→松花江→松花江大桥→兆麟公园→龙塔→伏尔加庄园→冰雪大世界→圣索菲亚教堂→马迭尔→哈尔滨大剧院,1681,694e5c16000000002203983c
小红书,三天足够了,冬季,中央大街→松花江→圣索菲亚教堂→冰雪大世界→东北虎林园→731遗址→黑龙江省博物馆→中华巴洛克,1617,678aa3dd00000000190309c8
小红书,离开前，我选这9️⃣张图作为告别哈尔滨的pyq,冬季,松花江→中央大街→马迭尔→松花江大桥→圣索菲亚教堂→中华巴洛克→圣伊维尔教堂→伏尔加庄园→冰雪大世界→老厨家,1600,698466d0000000000a028cc2
小红书,🌟哈尔滨3日慢游记（附路线攻略）,秋季,中央大街→道里菜市场→防洪纪念塔→松花江→斯大林公园→松花江大桥→马迭尔→圣索菲亚教堂→中华巴洛克→太阳岛→秋林公司→黑龙江省博物馆,1553,68b6ed46000000001d0113f6
小红书,哈尔滨小众city walk，假期几乎无人（附路线）,春季,黑龙江省博物馆→果戈里大街,1549,66361384000000001e036879
小红书,哈尔滨两天半的行程结束了，总结一下最优路,四季皆宜,中央大街→马迭尔→黑龙江省博物馆→松花江→松花江大桥→松花江铁路桥→防洪纪念塔→圣索菲亚教堂,1451,688c7e6e000000002203a979
小红书,我的哈尔滨冬日回忆录⏳（附拍照机位&攻略,冬季,圣索菲亚教堂→道里菜市场→中央大街→中华巴洛克→哈尔滨站→松花江→松花江大桥→龙塔,1403,67333cea000000003c01cd8a
小红书,高精力友好旅行｜哈尔滨春日citywalk路线,春季,松花江→松花江大桥→防洪纪念塔→松花江铁路桥,1352,69d8e782000000001a030589
小红书,哈尔滨⛄️｜第一次来直接抄旅行路线,冬季,中华巴洛克→老厨家→哈尔滨站→圣索菲亚教堂→中央大街→斯大林公园→防洪纪念塔→松花江→松花江大桥→红专街早市→黑龙江省博物馆→冰雪大世界→兆麟公园→太阳岛→哈尔滨西站→马迭尔,1331,698733e2000000000a03e1ba
小红书,刚从哈尔滨回！对我的攻略满意到不行,冬季,哈尔滨太平国际机场→中央大街→圣索菲亚教堂→松花江→伏尔加庄园→冰雪大世界,1305,678658c2000000001703db2e
小红书,夏天的哈尔滨，真的太像欧洲了💒,冬季/夏季,冰雪大世界→伏尔加庄园→中央大街→中华巴洛克→果戈里大街→哈尔滨站→圣索菲亚教堂→圣阿列克谢耶夫教堂→松花江,1256,68825e45000000001c03033d
小红书,来自哈尔滨本地人的4天3夜旅游攻略❗️必看❗️,冬季,冰雪大世界→中央大街→中华巴洛克→防洪纪念塔→圣索菲亚教堂→黑龙江省博物馆→松花江→老厨家→秋林公司,1160,6796e88e0000000018013beb
小红书,高效版‼️哈尔滨3天2晚旅游攻略（不走回头路,冬季,红专街早市→哈尔滨音乐厅→中央大街→道里菜市场→圣索菲亚教堂→黑龙江省博物馆→防洪纪念塔→松花江→松花江铁路桥→中华巴洛克→哈尔滨极地馆→太阳岛→东北虎林园→哈尔滨大剧院→冰雪大世界→哈尔滨站→果戈里大街→哈尔滨天主教堂→龙塔→亚布力滑雪场→雪乡→兆麟公园→马迭尔,1083,674d498000000000070303bb
小红书,哈尔滨❄️这2️⃣条路线，直接走进童话世界,冬季/秋季,松花江→圣伊维尔教堂→哈尔滨站→哈尔滨天主教堂→中央大街→冰雪大世界→太阳岛,1000,6915c0080000000007032c89
小红书,为了这9️⃣张图，我特意来了趟哈尔滨‼️,冬季,松花江大桥→哈尔滨站→冰雪大世界→哈尔滨大剧院→松花江→中央大街→圣索菲亚教堂→老道外→中华巴洛克→红专街早市→伏尔加庄园,924,69365d82000000001e03a3bc
小红书,哈尔滨旅游三天三夜攻略（非冬季版）,冬季,圣索菲亚教堂→道里菜市场→中央大街→马迭尔→松花江→松花江大桥→黑龙江省博物馆→中华巴洛克→731遗址→太阳岛→防洪纪念塔→果戈里大街→圣阿列克谢耶夫教堂→秋林公司→哈尔滨太平国际机场,923,683acd04000000002100fb46
小红书,哈尔滨一日游攻略,冬季/夏季,红专街早市→圣索菲亚教堂→道里菜市场→中央大街→马迭尔→老厨家→松花江→防洪纪念塔→中华巴洛克,802,68d285a0000000000e030e60
小红书,淡季的哈尔滨丽思真的人间理想（附逛吃攻略）,冬季,冰雪大世界→老厨家→中央大街→秋林公司→圣索菲亚教堂→圣阿列克谢耶夫教堂→哈尔滨天主教堂→圣伊维尔教堂→中华巴洛克→黑龙江省博物馆→松花江→松花江大桥→哈尔滨站→哈尔滨西站,780,69e32b5300000000230048fb
小红书,📍哈尔滨 | 果戈里大街懒人版citywalk,四季皆宜,果戈里大街→圣阿列克谢耶夫教堂→秋林公司→远大购物中心→中华巴洛克,772,689b0380000000001c007e13
小红书,哈尔滨｜City walk 路线解锁,冬季,红专街早市→圣阿列克谢耶夫教堂→果戈里大街→黑龙江省博物馆→圣伊维尔教堂→哈尔滨站→松花江大桥→松花江,585,67f04f30000000000b02dcf2
小红书,day2哈尔滨自驾 731 哈工大,四季皆宜,731遗址→防洪纪念塔→中央大街→圣索菲亚教堂,539,68af0ba1000000001d022dbf
小红书,哈尔滨本地大学生带你玩转五一！,春季,中央大街→松花江→松花江大桥,536,67f4c286000000001c0342d8
小红书,哈尔滨你真的不缺好看的建筑…,冬季/夏季,圣伊维尔教堂→哈尔滨站→哈尔滨天主教堂→果戈里大街→秋林公司→中华巴洛克→道里菜市场→圣索菲亚教堂→中央大街→斯大林公园→松花江→松花江大桥,533,68a51907000000001d01f7e2
小红书,⛄️北国风光❆ ｜哈尔滨特种兵一日游路线,冬季,冰雪大世界→道里菜市场→中央大街→马迭尔→松花江→松花江大桥→中华巴洛克,530,69a82592000000001b01d873
小红书,哈尔滨4天3晚全攻略！人均不到💰2k！！！,冬季,圣索菲亚教堂→中央大街→秋林公司→道里菜市场→松花江→松花江大桥→冰雪大世界→果戈里大街→龙塔→黑龙江省博物馆→东北虎林园→老厨家,534,6938127f000000001e030422
