名称,经度,纬度,类别,地址,POI类型,评分,人均消费
哈尔滨冰雪大世界,126.562459,45.777005,景点,太阳大道1458号,风景名胜;风景名胜;风景名胜,4.8,[]
哈尔滨融创乐园,126.505013,45.806609,景点,世茂大道99-1号,风景名胜;风景名胜相关;旅游景点,4.7,[]
哈尔滨中央大街,126.617682,45.774835,景点,中央大街1号,购物服务;特色商业街;特色商业街|风景名胜;风景名胜相关;旅游景点,4.9,[]
太阳岛风景区,126.597880,45.791584,景点,太阳大道3号,风景名胜;风景名胜;国家级景点,4.7,[]
哈尔滨极地公园,126.586479,45.785251,景点,太阳大道277号(太阳岛地铁站2号口步行140米),风景名胜;公园广场;公园,4.7,[]
哈尔滨极地公园·极地馆,126.586057,45.784741,景点,太阳大道277号,风景名胜;公园广场;水族馆,4.7,[]
东北虎林园,126.600650,45.817483,景点,松北街88号,风景名胜;风景名胜;风景名胜,4.8,[]
哈尔滨防洪纪念塔广场,126.617118,45.780655,景点,斯大林街3号斯大林公园内(东侧),风景名胜;公园广场;城市广场,4.7,[]
哈尔滨市人民防洪胜利纪念塔,126.617203,45.780654,景点,友谊路259-7号,风景名胜;风景名胜;风景名胜,4.8,[]
索菲亚广场,126.627081,45.770624,景点,透笼街88号,风景名胜;公园广场;城市广场,4.8,[]
哈尔滨音乐公园,126.548455,45.749011,景点,群力街道上江街与友谊西路交汇处,风景名胜;公园广场;公园,4.7,[]
圣·索菲亚教堂,126.627215,45.770125,景点,透笼街88号,风景名胜;风景名胜;教堂,4.9,[]
中华巴洛克历史文化街区,126.640729,45.781791,景点,南头道街64号,风景名胜;风景名胜;国家级景点|购物服务;购物相关场所;购物相关场所,4.8,[]
斯大林公园,126.612799,45.779383,景点,斯大林街3号(近松花江畔),风景名胜;公园广场;公园,4.7,[]
哈尔滨市兆麟公园,126.622915,45.777327,景点,森林街41号,风景名胜;公园广场;公园,4.8,[]
音乐长廊,126.558480,45.750571,景点,工农街道群力街道盛和天下S3号楼,风景名胜;公园广场;城市广场,4.8,[]
江上城堡观光索道,126.610547,45.777900,景点,通江街218号(通江广场),风景名胜;风景名胜相关;旅游景点,4.7,[]
哈尔滨市博物馆,126.625528,45.774276,景点,柳树街13号,科教文化服务;博物馆;博物馆,4.7,[]
极乐寺,126.664588,45.777559,景点,燎原街道花园街道东大直街9号,风景名胜;风景名胜;寺庙道观,4.7,[]
黑龙江省博物馆,126.640934,45.757569,景点,红军街50号,科教文化服务;博物馆;博物馆,4.7,[]
中东铁路桥,126.625986,45.784249,景点,旭初街和江畔路交口,风景名胜;风景名胜;风景名胜,4.7,[]
哈药六版画博物馆,126.704433,45.764998,景点,南直路326号,科教文化服务;博物馆;博物馆,4.8,[]
龙塔,126.680189,45.748517,景点,长江路178号,风景名胜;风景名胜;国家级景点,4.7,[]
体育公园,126.546608,45.735431,景点,工农街道群力大道与丽江路交叉口东300米,风景名胜;公园广场;公园,4.7,[]
俄罗斯童话博物馆,126.625207,45.770095,景点,新一百购物商城5楼,科教文化服务;博物馆;博物馆,4.7,[]
哈尔滨市儿童公园,126.655848,45.760694,景点,果戈里大街295号(近花园街),风景名胜;公园广场;公园,4.7,[]
波塞冬海底世界,126.681883,45.883709,景点,汇江路153号,风景名胜;风景名胜;风景名胜,4.7,[]
东北烈士纪念馆,126.642535,45.765849,景点,一曼街241号,风景名胜;风景名胜;纪念馆,5.0,[]
