名称,经度,纬度,类别,地址,POI类型,评分,人均消费
哈尔滨冰雪大世界,126.562459,45.777005,景点,太阳大道1458号,风景名胜;风景名胜;风景名胜,4.8,[]
哈尔滨融创乐园,126.505013,45.806609,景点,世茂大道99-1号,风景名胜;风景名胜相关;旅游景点,4.7,[]
哈尔滨融创文旅城,126.499179,45.807403,景点,丰源街与世茂大道交汇处,风景名胜;风景名胜相关;旅游景点,4.4,[]
哈尔滨中央大街,126.617682,45.774835,景点,中央大街1号,购物服务;特色商业街;特色商业街|风景名胜;风景名胜相关;旅游景点,4.9,[]
太阳岛风景区,126.597880,45.791584,景点,太阳大道3号,风景名胜;风景名胜;国家级景点,4.7,[]
哈尔滨极地公园,126.586479,45.785251,景点,太阳大道277号(太阳岛地铁站2号口步行140米),风景名胜;公园广场;公园,4.7,[]
哈尔滨极地公园·极地馆,126.586057,45.784741,景点,太阳大道277号,风景名胜;公园广场;水族馆,4.7,[]
东北虎林园,126.600650,45.817483,景点,松北街88号,风景名胜;风景名胜;风景名胜,4.8,[]
哈尔滨防洪纪念塔广场,126.617118,45.780655,景点,斯大林街3号斯大林公园内(东侧),风景名胜;公园广场;城市广场,4.7,[]
哈尔滨市人民防洪胜利纪念塔,126.617203,45.780654,景点,友谊路259-7号,风景名胜;风景名胜;风景名胜,4.8,[]
金河湾湿地植物园,126.498681,45.783001,景点,江湾路5000号,风景名胜;公园广场;植物园,4.2,[]
新区中心公园,126.523721,45.817554,景点,中源大道与江安街交汇处,风景名胜;公园广场;公园,4.3,[]
银河欢乐世界,126.496746,45.800217,景点,世茂大道与丰源街交叉口东北100米,体育休闲服务;体育休闲服务场所;体育休闲服务场所,4.6,[]
索菲亚广场,126.627081,45.770624,景点,透笼街88号,风景名胜;公园广场;城市广场,4.8,[]
哈尔滨音乐公园,126.548455,45.749011,景点,群力街道上江街与友谊西路交汇处,风景名胜;公园广场;公园,4.7,[]
圣·索菲亚教堂,126.627215,45.770125,景点,透笼街88号,风景名胜;风景名胜;教堂,4.9,[]
中华巴洛克历史文化街区,126.640729,45.781791,景点,南头道街64号,风景名胜;风景名胜;国家级景点|购物服务;购物相关场所;购物相关场所,4.8,[]
关东古巷,126.566775,45.734291,景点,群力新区群力第五大道770号城屿in象1层,购物服务;特色商业街;特色商业街,4.6,[]
斯大林公园,126.612799,45.779383,景点,斯大林街3号(近松花江畔),风景名胜;公园广场;公园,4.7,[]
太阳岛绿色运动公园,126.573242,45.772225,景点,雪乡街与冰峰路交叉口南260米,风景名胜;公园广场;公园,4.4,[]
哈尔滨市兆麟公园,126.622915,45.777327,景点,森林街41号,风景名胜;公园广场;公园,4.8,[]
太阳岛大熊猫馆,126.595357,45.788770,景点,太阳岛冰雪艺术馆附近,风景名胜;公园广场;动物园,4.6,[]
音乐长廊,126.558480,45.750571,景点,工农街道群力街道盛和天下S3号楼,风景名胜;公园广场;城市广场,4.8,[]
哈尔滨市政府广场,126.536450,45.800794,景点,松北街道世纪大道与泰山街交叉口西南340米,风景名胜;公园广场;城市广场,4.2,[]
人民广场,126.602915,45.773650,景点,经纬街与友谊路交口102号,风景名胜;公园广场;城市广场,4.6,[]
丁香公园,126.566514,45.743329,景点,群力大道与景江东路交汇处,风景名胜;公园广场;公园,4.6,[]
江上城堡观光索道,126.610547,45.777900,景点,通江街218号(通江广场),风景名胜;风景名胜相关;旅游景点,4.7,[]
