,哈尔滨冰雪大世界,哈尔滨融创乐园,哈尔滨中央大街,太阳岛风景区,哈尔滨极地公园,哈尔滨极地公园·极地馆,东北虎林园,哈尔滨防洪纪念塔广场,哈尔滨市人民防洪胜利纪念塔,索菲亚广场,哈尔滨音乐公园,圣·索菲亚教堂,中华巴洛克历史文化街区,斯大林公园,哈尔滨市兆麟公园,音乐长廊,江上城堡观光索道,哈尔滨市博物馆,极乐寺,黑龙江省博物馆,中东铁路桥,哈药六版画博物馆,龙塔,体育公园,俄罗斯童话博物馆,哈尔滨市儿童公园,波塞冬海底世界,东北烈士纪念馆,哈尔滨文庙,梅金肖克百年庭院,中东铁路桥头堡,哈尔滨美术馆,哈尔滨工业大学博物馆,龙江大舞台旗舰店,雅致永悦汇养生沐浴,太阳岛风景区-东北抗日联军纪念园,平房公园,哈军工纪念馆,哈尔滨伏尔加庄园,哈尔滨清滨公园投影民宿(哈尔滨工业大学店),哈尔滨群力丁香公园地铁站亚朵酒店,万达广场(哈尔滨哈西店),凯德广场·学府,万达广场(哈尔滨香坊店),万达广场(哈尔滨哈东店),杉杉奥特莱斯广场·哈尔滨,哈特购物广场,杉杉(杉杉奥特莱斯广场·哈尔滨店),金爵万象商业广场,哈尔滨西站万达广场中心桔子水晶酒店,哈尔滨记忆城市文化主题餐厅(金中环广场店),万达影城(哈尔滨香坊万达广场店),哈尔滨西站万达广场美居酒店,波波笑剧场(哈尔滨哈西万达广场店),全季酒店(哈尔滨中央大街哈站北广场店),如家酒店(哈尔滨香坊万达广场龙塔店),希岸Deluxe酒店(哈尔滨哈西高铁站万达广场店),毛毛镇音乐主题乐园,哈尔滨民俗博物馆民宿(松花江店),快乐专+(哈尔滨店),遇见汤泉,哈尔滨枫叶小镇温泉度假酒店,滨果汤泉空间,悦溪棠温泉洗浴,禧沐汤泉,银河欢乐世界温泉洗浴,浴玺湾温泉水汇,云尚汤泉洗浴会馆,亚布力良栖青云民宿,花筑·栖禧民宿(雪谷风景区店),亚布力芳源李·1897民宿,亚布力壹号别院民宿,寒酥庄园酒店(亚布力滑雪旅游度假区),亚布力梵山雪麓民宿,琪瑞酒店(哈尔滨太平国际机场店),亚布力青年雪鼎山庄,亚布力富丽山居民宿,亚布力·沁园春lce and Snow World·轻奢别墅(亚布力南站店),亚布力滑雪温泉森林别墅,野有故里设计师民宿,花筑·西柚度假民宿(哈尔滨冰雪大世界店),亚布力玖间度假别墅(滑雪旅游度假区店),亚布力友所居温泉民宿,墅云居·Travel休闲度假民宿(亚布力滑雪旅游度假区店),亚布力青云小镇清雅轩民宿,雪谷李姐温泉酒店,嘉毅客栈(中国雪谷风景区店),佰源民宿酒店(东北虎林园店),春上汤泉,亚布力滑雪旅游度假区,哈尔滨热雪奇迹,老街滋味坊(直营旗舰店),老街滋味坊(民安小区店),偏脸子哈尔滨老烧烤(自兴街店),老街滋味坊(香坊大街店),隆栎老北京炭火锅(巴陵街),老松滨饭店(菜艺街店),老牌坊云南鱼豆花火锅(大成街店),偏脸子哈尔滨老烧烤(建国北六道街店),一头牛正宗齐齐哈尔烤肉(太古街店),哈尔滨万枫酒店(中央大街火车站店),焕彩时尚宾馆(哈尔滨站中央大街店),惟景假日酒店(哈尔滨中央大街店),哈尔滨中央大街友谊路亚朵酒店,茄子青旅(中央大街店),萤火虫青年旅舍(哈尔滨中央大街索菲亚教堂店),哈尔滨染冬青年旅舍(中央大街步行街索菲亚教堂店),稻香国际青年旅舍(哈尔滨中央大街店),豪滨假日酒店(哈尔滨火车站博物馆地铁站店),滨江快捷宾馆,VIP会所(哈尔滨凯德广场店),鸿顺旅店(哈尔滨医大二院店),有房民宿(哈尔滨理工大学店),哈尔滨天吉招待所,秦泉青年旅馆(哈尔滨南岗店),哈尔滨火车站果戈里大街漫心酒店,哈尔滨天翼快捷宾馆,顺心旅店(哈尔滨海城市场店),哈尔滨合欣旅店,哈尔滨尚志旅社,顺航宾馆(哈尔滨太平国际机场店),哈尔滨香坊金沙时尚快捷宾馆,哈尔滨喜光主题小宾馆,哈尔滨金帝宾馆,自然空间休闲宾馆(哈尔滨巴洛克极乐寺店),君康日租公寓(中华巴洛克风情街店),太阳岛宾馆(太阳大道),北舍民宿(哈尔滨北岸明珠龙湾店),雅舍青旅(哈尔滨松北区融创茂店),哈尔滨太阳岛花园酒店,哈尔滨站,哈尔滨西站,哈尔滨东站,哈尔滨北站,哈尔滨太平国际机场
哈尔滨冰雪大世界,0.0,11.75,8.52,7.77,3.86,3.86,11.11,9.09,9.06,9.46,8.57,9.5,11.59,9.43,8.9,8.5,8.59,9.0,16.48,10.67,9.48,17.66,15.18,11.04,9.17,11.94,24.2,10.17,16.74,8.46,10.46,9.74,10.17,10.29,15.73,6.43,27.25,16.98,37.88,10.38,9.27,13.93,10.87,18.07,23.79,14.73,10.62,15.29,13.67,13.76,9.49,17.17,14.16,13.82,8.97,17.87,13.92,37.7,6.7,23.98,11.31,14.72,6.89,12.93,12.53,10.85,34.74,7.01,236.34,251.32,236.64,220.8,227.89,231.6,38.2,232.86,234.18,231.4,235.95,236.28,9.4,235.86,235.99,235.94,236.05,251.46,252.19,11.15,13.75,235.88,10.99,11.81,9.42,11.47,16.08,13.73,16.75,12.15,6.45,11.72,9.78,8.89,7.18,8.31,8.48,9.05,9.54,8.24,11.41,16.33,10.58,13.8,12.95,11.3,13.89,13.89,14.61,12.19,7.72,11.27,39.42,17.27,16.16,8.62,17.26,10.94,4.5,7.04,11.3,3.85,10.05,13.16,24.55,13.34,43.33
哈尔滨融创乐园,11.75,0.0,15.27,14.96,11.06,11.05,11.78,15.84,15.82,16.22,15.33,16.25,18.34,16.18,15.65,15.26,15.34,15.76,23.09,17.43,16.23,25.08,21.93,13.64,15.93,18.69,20.17,16.93,23.5,15.21,17.21,14.87,16.93,17.04,22.49,13.62,34.74,23.66,49.64,17.14,16.02,22.74,17.62,24.83,37.95,12.19,17.38,12.76,22.29,21.02,14.72,23.93,22.0,22.63,15.73,24.63,21.34,42.33,13.46,30.74,14.86,5.02,13.65,20.2,14.03,1.23,41.28,13.77,251.83,259.14,252.13,236.29,243.38,247.1,35.73,248.35,249.67,246.9,251.44,251.77,8.41,251.35,251.48,251.44,251.54,259.28,260.02,10.5,20.51,251.37,0.69,18.57,16.18,18.22,22.84,20.49,23.51,18.9,13.21,21.49,16.53,15.65,13.94,15.07,15.23,15.8,16.3,15.0,18.16,26.57,17.34,23.92,19.71,18.06,20.64,20.65,21.37,18.95,14.48,18.02,36.95,24.03,22.92,15.38,21.23,22.26,11.69,5.62,1.12,10.81,16.81,17.01,25.54,10.8,40.85
哈尔滨中央大街,8.52,15.27,0.0,10.84,7.78,7.11,14.6,1.86,1.84,2.6,6.88,2.76,4.36,2.2,1.75,6.81,0.94,1.85,6.21,4.22,2.25,9.29,8.3,9.33,2.02,5.46,17.59,3.73,6.89,2.12,3.23,8.04,5.13,2.57,8.88,9.5,23.69,8.08,29.0,6.38,7.56,12.23,9.16,8.28,17.25,18.22,5.11,18.78,11.97,11.25,7.79,8.48,12.46,12.12,2.95,8.08,12.94,34.14,2.85,17.44,9.6,18.21,2.35,10.43,11.68,14.34,27.32,4.08,234.64,249.61,234.93,219.09,226.18,229.9,34.97,231.16,232.47,229.7,234.24,234.58,12.89,234.16,234.28,234.24,234.35,249.75,250.49,14.64,8.05,234.17,14.48,5.36,4.86,9.76,10.05,6.61,9.05,5.62,3.79,4.49,3.33,2.44,3.88,2.87,2.82,2.35,2.83,0.3,7.06,15.08,8.88,12.1,10.28,4.85,6.08,6.76,6.01,5.84,2.59,3.31,36.19,10.73,10.13,4.99,4.98,3.72,7.57,10.53,14.79,7.15,3.6,10.57,9.93,16.83,40.09
太阳岛风景区,7.77,14.96,10.84,0.0,4.37,4.19,14.15,13.68,13.66,14.06,13.17,14.09,16.18,14.02,13.49,13.1,13.18,13.6,21.07,15.27,14.07,22.25,19.77,15.64,13.77,16.53,27.23,14.77,21.34,13.05,15.05,14.34,14.77,14.88,20.33,1.5,31.85,21.57,42.48,14.98,13.87,18.53,15.46,22.67,28.39,17.76,15.22,18.32,18.27,18.36,14.09,21.77,18.76,18.42,13.57,22.47,18.51,42.29,11.3,28.58,15.9,17.75,11.49,17.53,17.12,13.88,39.33,11.61,240.94,255.91,241.24,225.4,232.48,236.2,42.8,237.46,238.78,236.0,240.55,240.88,12.44,240.46,240.58,240.54,240.65,256.05,256.79,14.19,18.35,240.47,14.03,16.41,14.02,16.06,20.68,18.33,21.35,16.74,11.05,16.31,14.37,13.49,11.78,12.91,13.07,13.64,14.14,12.84,16.0,20.93,15.18,18.4,17.55,15.9,18.48,18.49,19.21,16.79,12.32,15.87,44.02,21.87,20.76,13.22,21.86,15.54,4.65,10.07,14.33,7.49,14.65,17.76,29.14,16.37,47.92
哈尔滨极地公园,3.86,11.06,7.78,4.37,0.0,0.72,10.68,10.21,10.19,10.59,9.7,10.62,12.71,10.55,10.02,9.63,9.71,10.13,17.61,11.8,10.61,18.78,16.31,12.17,10.3,13.06,23.76,11.3,17.87,9.58,11.59,10.87,11.3,11.41,16.86,3.11,28.38,18.1,39.01,11.51,10.4,15.06,12.0,19.2,24.92,14.29,11.75,14.86,14.8,14.89,10.62,18.3,15.29,14.95,10.1,19.0,15.04,38.83,7.83,25.11,12.44,14.29,8.02,14.06,13.65,10.41,35.87,8.14,237.47,252.44,237.77,221.93,229.01,232.73,39.33,233.99,235.31,232.53,237.08,237.41,8.97,236.99,237.11,237.07,237.18,252.58,253.32,10.72,14.88,237.01,10.56,12.94,10.55,12.59,17.21,14.86,17.88,13.28,7.58,12.84,10.9,10.02,8.31,9.44,9.6,10.17,10.67,9.37,12.54,17.46,11.71,14.93,14.08,12.43,15.01,15.02,15.74,13.32,8.85,12.4,40.55,18.4,17.29,9.75,18.39,12.07,1.18,6.61,10.86,4.02,11.18,14.29,25.67,12.9,44.45
哈尔滨极地公园·极地馆,3.86,11.05,7.11,4.19,0.72,0.0,10.94,10.47,10.45,10.85,9.96,10.88,12.97,10.81,10.28,9.89,9.97,10.39,17.86,12.06,10.87,19.04,16.57,12.43,10.56,13.32,24.02,11.56,18.13,9.84,11.84,11.13,11.56,11.67,17.12,3.37,28.64,18.36,39.27,11.77,10.65,15.32,12.26,19.46,25.18,14.55,12.01,15.12,15.06,15.15,10.88,18.56,15.55,15.21,10.36,19.26,15.3,39.08,8.09,25.37,12.69,14.54,8.28,14.32,13.91,10.67,36.12,8.4,237.73,252.7,238.03,222.19,229.27,232.99,39.59,234.25,235.57,232.79,237.34,237.67,9.23,237.25,237.37,237.33,237.44,252.84,253.58,10.98,15.14,237.26,10.82,13.2,10.8,12.85,17.47,15.12,18.14,13.53,7.84,13.1,11.16,10.28,8.57,9.7,9.86,10.43,10.93,9.63,12.79,17.71,11.97,15.19,14.34,12.69,15.27,15.28,16.0,13.57,9.11,12.65,40.81,18.66,17.55,10.01,18.65,12.33,1.44,6.86,11.12,4.28,11.44,14.55,25.93,13.16,44.71
东北虎林园,11.11,11.78,14.6,14.15,10.68,10.94,0.0,14.2,14.17,15.14,16.03,14.79,12.86,14.54,14.54,15.96,14.62,15.32,13.82,15.72,14.3,15.81,16.99,18.49,14.91,16.66,15.6,14.22,14.44,15.5,13.17,17.2,17.62,12.98,17.54,14.32,41.51,14.39,41.24,17.83,16.72,21.39,18.32,18.01,29.32,14.92,18.07,15.48,21.13,21.21,16.94,18.78,21.62,21.28,16.42,17.91,28.11,49.1,14.16,26.95,18.76,12.7,14.34,20.39,20.8,11.86,49.14,14.46,245.84,260.82,246.14,230.3,237.39,241.1,44.15,242.36,243.68,240.9,245.45,245.78,3.37,245.36,245.49,245.44,245.55,260.95,261.69,4.88,21.21,245.38,12.03,14.27,16.87,18.92,23.54,15.91,25.6,14.55,13.91,12.21,15.63,16.34,14.64,15.77,15.93,14.72,14.46,15.7,16.19,23.78,18.03,21.26,20.41,14.01,17.69,15.9,15.01,17.35,15.17,15.61,45.37,23.71,23.62,16.07,11.96,12.99,12.39,7.23,12.31,11.5,15.1,20.62,16.27,13.53,49.28
哈尔滨防洪纪念塔广场,9.09,15.84,1.86,13.68,10.21,10.47,14.2,0.0,0.24,3.23,6.89,3.41,4.38,0.36,2.23,6.82,0.59,2.34,6.77,4.84,2.27,9.33,8.92,9.34,2.51,6.77,17.61,4.71,7.58,2.6,3.25,8.04,5.82,3.08,9.49,9.49,25.55,9.93,36.18,7.0,7.57,12.23,9.17,8.89,22.09,18.21,6.34,18.77,11.97,12.06,7.79,9.1,12.47,12.12,3.63,8.7,12.22,41.58,5.1,22.29,9.61,18.2,3.34,11.23,10.83,14.33,33.04,5.27,234.64,249.62,234.94,219.1,226.19,229.91,36.52,231.16,232.48,229.7,234.25,234.58,12.88,234.16,234.29,234.25,234.35,249.76,250.5,14.63,12.05,234.18,14.47,6.05,5.88,9.77,14.38,7.22,15.05,7.13,4.67,4.51,3.74,3.12,5.61,2.52,3.51,2.83,3.32,1.42,7.67,14.63,8.88,12.1,11.25,5.54,6.77,7.38,6.7,6.53,3.28,3.72,37.74,15.57,14.47,6.92,4.99,3.73,7.56,10.52,14.78,7.14,4.22,11.46,9.94,16.82,41.64
哈尔滨市人民防洪胜利纪念塔,9.06,15.82,1.84,13.66,10.19,10.45,14.17,0.24,0.0,3.25,6.91,3.43,4.4,0.36,2.26,6.84,0.62,2.36,6.79,4.86,2.29,9.35,8.94,9.36,2.53,6.8,17.63,4.73,7.6,2.63,3.27,8.06,5.85,3.1,9.51,9.52,25.57,9.96,36.21,7.02,7.59,12.26,9.19,8.92,22.12,18.23,6.36,18.79,12.0,12.08,7.81,9.12,12.49,12.15,3.65,8.72,12.24,41.6,5.12,22.31,9.63,18.22,3.36,11.26,10.85,14.35,33.06,5.29,234.66,249.64,234.96,219.12,226.21,229.93,36.54,231.19,232.5,229.73,234.27,234.61,12.91,234.18,234.31,234.27,234.38,249.78,250.52,14.66,12.08,234.2,14.49,6.08,5.91,9.79,14.41,7.24,15.07,7.15,4.7,4.53,3.76,3.14,5.64,2.54,3.54,2.86,3.34,1.44,7.69,14.65,8.9,12.13,11.28,5.57,6.79,7.4,6.72,6.56,3.31,3.74,37.76,15.6,14.49,6.94,5.01,3.75,7.59,10.54,14.8,7.17,4.24,11.49,9.97,16.84,41.67
索菲亚广场,9.46,16.22,2.6,14.06,10.59,10.85,15.14,3.23,3.25,0.0,7.44,1.42,3.84,2.44,0.98,7.37,2.06,0.53,4.84,2.55,2.21,7.4,6.63,9.89,0.3,5.11,17.08,2.05,5.21,0.71,2.72,8.59,3.95,1.8,7.2,10.06,22.82,6.72,27.33,4.71,8.12,10.82,7.16,6.61,15.57,18.78,4.36,19.34,10.56,10.65,8.34,6.81,11.05,10.71,1.75,6.41,11.53,33.26,3.04,15.77,9.79,18.77,2.59,9.82,11.08,14.9,26.44,3.48,232.85,244.04,233.15,217.31,224.4,228.12,34.36,229.37,230.69,227.91,232.46,232.79,13.45,232.37,232.5,232.46,232.56,244.18,244.91,12.68,6.68,232.39,15.04,3.69,3.73,7.75,7.94,4.93,7.38,3.95,3.98,3.47,1.52,1.24,4.13,3.21,2.89,0.62,1.5,1.51,4.58,14.2,6.87,10.09,9.4,3.18,4.89,5.09,4.34,4.66,1.99,1.5,35.59,9.05,8.03,5.17,4.05,2.31,8.13,11.09,15.35,7.71,1.93,9.97,9.41,17.38,39.49
