epoch,train_loss,val_loss,best_val_loss
0,9.1918,8.9815,8.9815
1,8.8335,8.6851,8.6851
2,8.5525,8.4531,8.4531
3,8.3356,8.2886,8.2886
4,8.1884,8.1811,8.1811
5,8.0917,8.1153,8.1153
6,8.0186,8.0697,8.0697
7,7.9611,8.0374,8.0374
8,7.9219,8.0009,8.0009
9,7.8803,7.961,7.961
10,7.8255,7.9218,7.9218
11,7.7747,7.8798,7.8798
12,7.706,7.8263,7.8263
13,7.6494,7.7662,7.7662
14,7.5859,7.7146,7.7146
15,7.514,7.6526,7.6526
16,7.4471,7.6016,7.6016
17,7.3701,7.5311,7.5311
18,7.297,7.475,7.475
19,7.228,7.3951,7.3951
20,7.1438,7.3347,7.3347
21,7.0579,7.2632,7.2632
22,6.9786,7.1866,7.1866
23,6.8889,7.112,7.112
24,6.8099,7.0326,7.0326
25,6.7292,6.9579,6.9579
26,6.6425,6.8764,6.8764
27,6.5606,6.7942,6.7942
28,6.4631,6.7249,6.7249
29,6.3844,6.6386,6.6386
30,6.3116,6.5681,6.5681
31,6.2148,6.4949,6.4949
32,6.1323,6.4179,6.4179
33,6.0439,6.3377,6.3377
34,5.9773,6.2732,6.2732
35,5.8922,6.2059,6.2059
36,5.8108,6.1533,6.1533
37,5.748,6.0863,6.0863
38,5.6651,6.0175,6.0175
39,5.5884,5.9536,5.9536
40,5.4968,5.8752,5.8752
41,5.4141,5.8186,5.8186
42,5.3502,5.7765,5.7765
43,5.293,5.7106,5.7106
44,5.222,5.6605,5.6605
45,5.1711,5.6136,5.6136
46,5.101,5.5586,5.5586
47,5.0485,5.5217,5.5217
48,4.9812,5.4686,5.4686
49,4.9185,5.4289,5.4289
50,4.8601,5.3939,5.3939
51,4.8018,5.3514,5.3514
52,4.7531,5.3241,5.3241
53,4.6922,5.2773,5.2773
54,4.6418,5.2309,5.2309
55,4.5959,5.1862,5.1862
56,4.5307,5.1503,5.1503
57,4.4844,5.1301,5.1301
58,4.4301,5.081,5.081
59,4.3951,5.0637,5.0637
60,4.3556,5.0388,5.0388
61,4.3061,4.9987,4.9987
62,4.2686,4.9761,4.9761
63,4.2296,4.9568,4.9568
64,4.1936,4.9293,4.9293
65,4.1419,4.9037,4.9037
66,4.1029,4.8776,4.8776
67,4.0652,4.8428,4.8428
68,4.0316,4.842,4.842
69,3.9891,4.8096,4.8096
70,3.9577,4.7834,4.7834
71,3.9125,4.7702,4.7702
72,3.885,4.7451,4.7451
73,3.8429,4.741,4.741
74,3.8137,4.6993,4.6993
75,3.7901,4.6768,4.6768
76,3.7524,4.6596,4.6596
77,3.7055,4.6469,4.6469
78,3.6712,4.6224,4.6224
79,3.6282,4.6115,4.6115
80,3.6018,4.5937,4.5937
81,3.5704,4.5732,4.5732
82,3.5284,4.5544,4.5544
83,3.5066,4.539,4.539
84,3.4611,4.527,4.527
85,3.4337,4.5155,4.5155
86,3.4138,4.5213,4.5155
87,3.3764,4.4845,4.4845
88,3.3516,4.4811,4.4811
89,3.3254,4.4658,4.4658
90,3.2909,4.4424,4.4424
91,3.2626,4.4415,4.4415
92,3.2401,4.4309,4.4309
93,3.206,4.4188,4.4188
94,3.1764,4.3962,4.3962
95,3.1535,4.3845,4.3845
96,3.1319,4.383,4.383
97,3.1084,4.3713,4.3713
98,3.0791,4.3527,4.3527
99,3.0641,4.3523,4.3523
100,3.0348,4.3419,4.3419
101,3.0104,4.3494,4.3419
102,2.9844,4.3436,4.3419
103,2.9734,4.3088,4.3088
104,2.9401,4.3066,4.3066
105,2.915,4.2948,4.2948
106,2.8908,4.3123,4.2948
107,2.8708,4.2793,4.2793
108,2.8532,4.2816,4.2793
109,2.8164,4.2871,4.2793
110,2.8067,4.2663,4.2663
111,2.7756,4.26,4.26
112,2.7584,4.2557,4.2557
113,2.7325,4.2458,4.2458
114,2.7154,4.2494,4.2458
115,2.6958,4.2278,4.2278
116,2.6767,4.2272,4.2272
117,2.6473,4.2217,4.2217
118,2.6194,4.2035,4.2035
119,2.5982,4.211,4.2035
120,2.5863,4.1972,4.1972
121,2.544,4.2011,4.1972
122,2.54,4.2091,4.1972
123,2.5143,4.2043,4.1972
124,2.487,4.1758,4.1758
125,2.4755,4.2004,4.1758
126,2.4608,4.1855,4.1758
127,2.4405,4.1841,4.1758
128,2.4264,4.1841,4.1758
129,2.4017,4.1685,4.1685
130,2.3854,4.1731,4.1685
131,2.3696,4.163,4.163
132,2.3414,4.1573,4.1573
133,2.3208,4.1775,4.1573
134,2.3061,4.1652,4.1573
135,2.2909,4.155,4.155
136,2.2698,4.1637,4.155
137,2.2575,4.1447,4.1447
138,2.226,4.1484,4.1447
139,2.2227,4.1398,4.1398
140,2.1967,4.1494,4.1398
141,2.1829,4.1533,4.1398
142,2.1637,4.1264,4.1264
143,2.1464,4.1498,4.1264
144,2.1339,4.126,4.126
145,2.1037,4.1338,4.126
146,2.0914,4.1327,4.126
147,2.0783,4.1207,4.1207
148,2.0649,4.1228,4.1207
149,2.0427,4.1199,4.1199
150,2.0226,4.1313,4.1199
151,2.004,4.1109,4.1109
152,1.9896,4.1206,4.1109
153,1.974,4.1224,4.1109
154,1.9502,4.1177,4.1109
155,1.9359,4.1201,4.1109
156,1.9256,4.1196,4.1109
157,1.9089,4.1255,4.1109
158,1.8904,4.1084,4.1084
159,1.8795,4.1157,4.1084
160,1.8595,4.1147,4.1084
161,1.8463,4.1214,4.1084
162,1.8411,4.1124,4.1084
163,1.8277,4.1196,4.1084
164,1.8021,4.1029,4.1029
165,1.7955,4.107,4.1029
166,1.7776,4.108,4.1029
167,1.7651,4.1222,4.1029
168,1.7571,4.1219,4.1029
169,1.7358,4.0916,4.0916
170,1.7269,4.1127,4.0916
171,1.7086,4.1073,4.0916
172,1.6903,4.1057,4.0916
173,1.6775,4.11,4.0916
174,1.6724,4.0997,4.0916
175,1.6522,4.1234,4.0916
176,1.6346,4.1182,4.0916
177,1.6275,4.1154,4.0916
178,1.6171,4.0923,4.0916
179,1.6041,4.1146,4.0916
180,1.5854,4.1206,4.0916
181,1.5762,4.1399,4.0916
182,1.5679,4.1355,4.0916
183,1.5502,4.13,4.0916
184,1.5412,4.1329,4.0916
